#   U_SEM                    StDev_SEM                U_Diaphragm              StDev_Diaphragm          Inorm                    R         D         

1   0,549689829349518        0,271089251005078        0,457830548286438        0,27679282633095         0,00120064034915732      1000      0,053     
2   0,587471187114716        0,323915174494158        0,512089908123016        0,289357433512674        0,00114720321138137      1000      0,053     
3   0,435099333524704        0,270436356871753        0,504103243350983        0,280605420848432        0,000863115521004029     1000      0,095     
4   0,576210200786591        0,292401862858986        0,494284093379974        0,297463986422513        0,00116574700360353      1000      0,095     
5   0,477321058511734        0,28047046499103         0,571009755134583        0,285141006580224        0,000835924525316092     1000      0,188     
6   0,544445276260376        0,30601412774678         0,480891048908234        0,282282391024986        0,00113215930613895      1000      0,188     
7   0,519011378288269        0,238038861709587        0,448912292718887        0,291446804561641        0,0011561531878417       1000      0,188     
8   0,457896590232849        0,267119326775563        0,54347836971283         0,294043610955551        0,000842529557293694     1000      0,188     
9   0,495053857564926        0,283031174795648        0,458941429853439        0,280470473037923        0,00107868635377508      1000      0,188     
10  0,547394275665283        0,262071380962294        0,529122233390808        0,292539499500992        0,00103453274332734      1000      0,188     
11  0,549689829349518        0,271089251005078        0,582017660140991        0,327311265634038        0,000944455584417074     1000      0,188     
12  0,587471187114716        0,323915174494158        0,555014431476593        0,267029542279543        0,0010584791201767       1000      0,188     
13  0,435099333524704        0,270436356871753        0,573207020759583        0,249186638243259        0,000759061417196416     1000      0,188     
14  0,576210200786591        0,292401862858986        0,50554746389389         0,25212098821073         0,0011397746837625       1000      0,188     
15  0,477321058511734        0,28047046499103         0,499648094177246        0,275545325728529        0,000955314478478543     1000      0,188     
16  0,544445276260376        0,30601412774678         0,568997979164124        0,277323312622642        0,00095684922653009      1000      0,188     
17  0,519011378288269        0,238038861709587        0,485723614692688        0,280605420546728        0,00106853231465108      1000      0,188     
18  0,457896590232849        0,267119326775563        0,555904448032379        0,292616990424355        0,000823696575649955     1000      0,188     
19  0,495053857564926        0,283031174795648        0,552630066871643        0,285141016516063        0,000895814193330726     1000      0,188     
20  0,547394275665283        0,262071380962294        0,517163157463074        0,286806914208003        0,00105845566871103      1000      0,188     

