#   U_SEM                    StDev_SEM                U_Diaphragm              StDev_Diaphragm          Inorm                    R         D         

1   0,490933001041412        0,3007018969184          0,486481726169586        0,286368128593012        0,00100914993232505      1000      0,053     
2   0,551041901111603        0,297352425317536        0,493501037359238        0,290427750335391        0,00111659724984626      1000      0,053     
3   0,450255513191223        0,277074855478632        0,424907237291336        0,255028629981871        0,00105965602295097      1000      0,095     
4   0,493000209331512        0,277479270131505        0,531605541706085        0,259168512943269        0,000927379740529648     1000      0,095     
5   0,491684198379517        0,303600902069197        0,483744740486145        0,309002313323315        0,00101641249450153      1000      0,188     
6   0,542362689971924        0,304299996114385        0,504456222057343        0,307028497586041        0,0010751432260266       1000      0,188     
7   0,498920887708664        0,303860053512196        0,478323400020599        0,294940489330958        0,00104306184411463      1000      0,188     
8   0,498435825109482        0,255784528775229        0,548336803913116        0,261721584270158        0,000908995751429551     1000      0,188     
9   0,497119814157486        0,303025618606548        0,533931136131287        0,310648665482504        0,000931056049211655     1000      0,188     
10  0,490089982748032        0,287352992939122        0,512549102306366        0,316100235369409        0,000956181525911814     1000      0,188     
11  0,490933001041412        0,3007018969184          0,483824491500854        0,284554878961193        0,00101469233092874      1000      0,188     
12  0,551041901111603        0,297352425317536        0,50519597530365         0,264282138726286        0,0010907487946245       1000      0,188     
13  0,450255513191223        0,277074855478632        0,48736634850502         0,284554884894365        0,000923854333751944     1000      0,188     
14  0,493000209331512        0,277479270131505        0,499712467193604        0,267933391080086        0,000986567759856409     1000      0,188     
15  0,491684198379517        0,303600902069197        0,488363444805145        0,287668829228775        0,0010067997586832       1000      0,188     
16  0,542362689971924        0,304299996114385        0,543061554431915        0,295534320892635        0,000998713102678162     1000      0,188     
17  0,498920887708664        0,303860053512196        0,51217794418335         0,301658910275695        0,000974116307378633     1000      0,188     
18  0,498435825109482        0,255784528775229        0,526045083999634        0,287859753075315        0,000947515413165288     1000      0,188     
19  0,497119814157486        0,303025618606548        0,459081292152405        0,30981681202186         0,00108285792223581      1000      0,188     
20  0,490089982748032        0,287352992939122        0,444244056940079        0,282490353999945        0,00110319986298463      1000      0,188     

